record_id,crop_name,layer_number,depth_start_cm,depth_end_cm,ph,ec_ds_m,organic_carbon_pct,available_n_kg_ha,available_p_kg_ha,available_k_kg_ha,sulphur_ppm,zinc_ppm,iron_ppm,soil_texture,n_status,p_status,k_status,n_requirement_kg_acre,p_requirement_kg_acre,k_requirement_kg_acre,rec_urea_kg_acre,rec_dap_kg_acre,rec_mop_kg_acre,rec_ssp_kg_acre,rec_zinc_sulphate_kg_acre,rec_gypsum_kg_acre,priority_nutrient,caution_flag,provenance_source,provenance_citation
SOIL_REC_00212,Maize,2,15,30,8.73,1.88,0.41,462.3,16.5,302.3,29.4,0.8,8.99,Red soil,Medium,Medium,Medium,48.0,24.0,16.0,83.9,52.2,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00213,Maize,3,30,60,7.68,1.6,0.39,146.9,6.7,141.7,18.8,1.36,4.62,Red soil,Low,Low,Low,60.0,31.2,20.0,103.9,67.8,33.3,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00214,Maize,1,0,15,8.0,2.74,0.59,479.5,23.8,226.5,10.4,0.94,3.97,Sandy loam,Medium,Medium,Medium,48.0,24.0,16.0,83.9,52.2,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00215,Maize,2,15,30,6.12,2.48,0.66,102.1,25.3,233.5,30.2,1.62,4.79,Sandy loam,Low,High,Medium,60.0,0.0,16.0,130.4,0.0,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00216,Maize,3,30,60,5.72,1.74,0.29,228.0,21.3,89.1,5.2,0.9,7.63,Sandy loam,Low,Medium,Low,60.0,24.0,20.0,130.4,0.0,33.3,150.0,0.0,0.0,Nitrogen,ACIDIC_PH;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00217,Maize,1,0,15,5.96,2.78,0.37,578.2,30.2,297.9,25.6,1.51,4.75,Sandy loam,High,High,Medium,19.2,0.0,16.0,41.7,0.0,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ACIDIC_PH;ELEVATED_SALINITY;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00218,Maize,2,15,30,8.39,2.76,0.48,245.1,13.2,217.8,20.6,1.38,4.16,Sandy loam,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ALKALINE_PH;ELEVATED_SALINITY;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00219,Maize,3,30,60,7.74,1.65,0.1,146.1,16.5,113.6,18.7,1.31,6.38,Sandy loam,Low,Medium,Low,60.0,24.0,20.0,110.0,52.2,33.3,0.0,0.0,0.0,Nitrogen,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00220,Maize,1,0,15,6.74,2.16,0.6,544.7,18.6,344.7,26.6,1.66,7.84,Clay loam,Medium,Medium,High,48.0,24.0,0.0,83.9,52.2,0.0,0.0,0.0,0.0,Nitrogen,ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00221,Maize,2,15,30,8.69,1.65,0.21,181.1,10.9,242.1,29.8,1.56,3.38,Clay loam,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00222,Maize,3,30,60,7.89,0.7,0.2,228.4,15.7,202.3,9.3,1.42,9.38,Clay loam,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00223,Maize,1,0,15,6.22,0.74,1.01,271.6,44.2,166.3,9.3,1.39,9.6,Alluvial,Low,High,Medium,55.2,0.0,16.0,120.0,0.0,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00224,Maize,2,15,30,7.99,2.58,0.61,353.9,17.0,132.1,13.0,0.65,6.93,Alluvial,Medium,Medium,Low,48.0,24.0,20.0,83.9,52.2,40.0,0.0,0.0,0.0,Potassium,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00225,Maize,3,30,60,7.64,1.0,0.25,280.7,12.8,189.5,24.2,1.42,5.54,Alluvial,Medium,Medium,Medium,48.0,24.0,16.0,83.9,52.2,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00226,Maize,1,0,15,6.72,1.28,0.68,230.6,12.1,183.9,30.2,1.13,6.47,Loam,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00227,Maize,2,15,30,6.0,1.06,0.38,402.5,20.2,244.2,23.2,0.61,10.31,Loam,Medium,Medium,Medium,48.0,24.0,16.0,104.3,0.0,26.7,150.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00228,Maize,3,30,60,8.69,1.87,0.31,102.1,19.7,75.5,24.2,0.98,11.21,Loam,Low,Medium,Low,60.0,24.0,20.0,110.0,52.2,33.3,0.0,0.0,0.0,Nitrogen,ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00229,Maize,1,0,15,8.77,2.69,0.65,539.5,9.1,384.5,5.4,0.21,3.81,Alluvial,Medium,Low,High,48.0,31.2,0.0,77.8,67.8,0.0,0.0,10.0,0.0,Phosphorus,ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00230,Maize,2,15,30,7.58,0.38,0.22,172.0,18.9,83.8,21.9,1.69,11.17,Alluvial,Low,Medium,Low,60.0,24.0,20.0,110.0,52.2,33.3,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00231,Maize,3,30,60,7.68,0.24,0.33,162.8,3.4,175.0,19.0,0.66,7.27,Alluvial,Low,Low,Medium,60.0,31.2,16.0,103.9,67.8,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00232,Maize,1,0,15,7.72,2.3,1.01,173.5,10.0,143.6,9.4,1.04,10.24,Red soil,Low,Medium,Low,55.2,24.0,20.0,99.6,52.2,40.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00233,Maize,2,15,30,6.38,1.23,0.38,242.3,22.3,334.9,10.3,1.29,10.55,Red soil,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00234,Maize,3,30,60,7.66,2.43,0.44,83.4,11.0,144.5,5.6,0.22,4.13,Red soil,Low,Medium,Low,60.0,24.0,20.0,110.0,52.2,40.0,0.0,10.0,0.0,Zinc,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00235,Maize,1,0,15,8.29,1.88,0.46,608.7,46.9,412.1,29.7,0.57,11.06,Black soil,High,High,High,19.2,0.0,0.0,41.7,0.0,0.0,0.0,10.0,0.0,Zinc,ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00236,Maize,2,15,30,7.78,1.67,0.31,436.6,26.1,143.2,19.2,1.25,4.2,Black soil,Medium,High,Low,48.0,0.0,20.0,104.3,0.0,33.3,0.0,0.0,0.0,Potassium,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00237,Maize,3,30,60,8.31,0.24,0.17,96.0,20.2,192.8,30.0,0.68,7.86,Black soil,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00238,Maize,1,0,15,8.25,1.21,1.0,285.9,37.7,140.4,31.7,1.36,7.26,Alluvial,Medium,High,Low,43.2,0.0,20.0,93.9,0.0,33.3,0.0,0.0,0.0,Potassium,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00239,Maize,2,15,30,8.72,0.34,0.42,404.5,15.2,275.1,30.7,0.83,9.85,Alluvial,Medium,Medium,Medium,48.0,24.0,16.0,83.9,52.2,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00240,Maize,3,30,60,5.6,0.91,0.55,182.7,10.5,214.4,16.1,1.29,8.78,Alluvial,Low,Medium,Medium,60.0,24.0,16.0,130.4,0.0,26.7,150.0,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00241,Maize,1,0,15,8.05,0.97,0.38,156.8,17.3,226.8,25.9,0.45,6.2,Sandy loam,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,10.0,0.0,Zinc,ALKALINE_PH;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00242,Maize,2,15,30,6.69,0.44,0.78,256.8,28.5,95.1,6.4,0.89,7.79,Sandy loam,Low,High,Low,60.0,0.0,20.0,130.4,0.0,33.3,0.0,0.0,0.0,Nitrogen,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00243,Maize,3,30,60,7.19,0.47,0.12,198.6,15.5,186.2,28.2,0.22,6.43,Sandy loam,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,10.0,0.0,Zinc,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00244,Maize,1,0,15,7.89,1.65,1.09,241.4,27.9,336.7,8.7,0.63,5.05,Sandy loam,Low,High,High,55.2,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,Nitrogen,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00245,Maize,2,15,30,5.98,0.63,0.31,202.4,29.2,165.0,30.4,1.35,7.21,Sandy loam,Low,High,Medium,60.0,0.0,16.0,130.4,0.0,26.7,0.0,0.0,0.0,Nitrogen,ACIDIC_PH;HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00246,Maize,3,30,60,7.54,1.39,0.14,61.7,11.3,196.5,14.6,1.58,6.68,Sandy loam,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,HIGH_LEACHING_TEXTURE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00247,Maize,1,0,15,8.19,2.43,1.08,188.1,19.5,431.0,9.6,0.7,11.66,Black soil,Low,Medium,High,55.2,24.0,0.0,99.6,52.2,0.0,0.0,0.0,0.0,Nitrogen,ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00248,Maize,2,15,30,8.7,0.96,0.61,274.1,22.6,133.0,14.5,1.51,6.23,Black soil,Low,Medium,Low,60.0,24.0,20.0,110.0,52.2,33.3,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00249,Maize,3,30,60,5.88,1.67,0.36,196.4,17.3,144.0,30.7,0.94,9.23,Black soil,Low,Medium,Low,60.0,24.0,20.0,130.4,0.0,33.3,150.0,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00250,Maize,1,0,15,8.13,2.36,0.22,543.9,39.4,332.3,7.9,0.68,4.9,Black soil,Medium,High,Medium,48.0,0.0,16.0,104.3,0.0,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00251,Maize,2,15,30,6.01,1.3,0.38,258.4,23.3,224.7,19.0,1.68,10.76,Black soil,Low,Medium,Medium,60.0,24.0,16.0,130.4,0.0,26.7,150.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00252,Maize,3,30,60,6.88,0.3,0.54,235.4,20.1,151.9,29.6,0.37,4.86,Black soil,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00253,Maize,1,0,15,6.67,1.88,0.19,611.8,34.5,233.9,25.1,1.75,6.59,Red soil,High,High,Medium,19.2,0.0,16.0,41.7,0.0,26.7,0.0,0.0,0.0,Nitrogen,ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00254,Maize,2,15,30,5.53,0.87,0.48,284.5,22.8,222.8,16.5,0.83,9.84,Red soil,Medium,Medium,Medium,48.0,24.0,16.0,104.3,0.0,26.7,150.0,0.0,0.0,Nitrogen,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00255,Maize,3,30,60,7.44,1.5,0.24,66.1,5.2,119.9,30.9,0.39,11.44,Red soil,Low,Low,Low,60.0,31.2,20.0,103.9,67.8,33.3,0.0,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00256,Maize,1,0,15,6.65,1.09,0.9,380.6,20.6,125.1,24.2,0.92,3.14,Loam,Medium,Medium,Low,43.2,24.0,20.0,73.5,52.2,33.3,0.0,0.0,0.0,Potassium,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00257,Maize,2,15,30,5.65,2.05,0.13,218.7,7.9,283.5,30.0,1.38,7.4,Loam,Low,Low,Medium,60.0,31.2,16.0,130.4,0.0,32.0,195.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ACIDIC_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00258,Maize,3,30,60,7.32,1.06,0.28,175.5,19.8,158.4,9.2,1.25,6.26,Loam,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00259,Maize,1,0,15,7.53,0.71,0.71,314.4,35.6,164.1,25.1,1.49,3.09,Red soil,Medium,High,Medium,48.0,0.0,16.0,104.3,0.0,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00260,Maize,2,15,30,5.84,2.47,0.25,212.2,18.9,138.3,28.2,1.04,8.57,Red soil,Low,Medium,Low,60.0,24.0,20.0,130.4,0.0,40.0,150.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ACIDIC_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00261,Maize,3,30,60,7.47,1.79,0.35,147.0,20.8,156.1,26.8,1.33,5.33,Red soil,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00262,Maize,1,0,15,7.45,1.95,0.45,239.3,10.9,224.4,8.0,0.82,8.17,Alluvial,Low,Medium,Medium,60.0,24.0,16.0,110.0,52.2,26.7,0.0,0.0,0.0,Nitrogen,ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00263,Maize,2,15,30,7.4,1.3,0.46,291.5,33.5,318.8,8.9,0.47,5.24,Alluvial,Medium,High,Medium,48.0,0.0,16.0,104.3,0.0,26.7,0.0,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00264,Maize,3,30,60,6.12,2.39,0.37,276.4,23.0,132.2,9.5,0.81,7.84,Alluvial,Low,Medium,Low,60.0,24.0,20.0,130.4,0.0,40.0,150.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00265,Maize,1,0,15,7.13,1.98,0.54,539.9,26.5,119.8,4.9,1.42,5.27,Red soil,Medium,High,Low,48.0,0.0,20.0,104.3,0.0,33.3,0.0,0.0,0.0,Potassium,ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00266,Maize,2,15,30,6.41,1.6,0.23,261.5,27.9,274.3,19.4,0.38,3.58,Red soil,Low,High,Medium,60.0,0.0,16.0,130.4,0.0,26.7,0.0,10.0,0.0,Zinc,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00267,Maize,3,30,60,8.06,2.34,0.25,265.7,3.9,174.4,19.3,1.78,3.47,Red soil,Low,Low,Medium,60.0,31.2,16.0,103.9,67.8,32.0,0.0,0.0,0.0,Nitrogen,HIGH_EC_SALINITY;ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00268,Maize,1,0,15,7.98,0.97,1.1,344.9,20.6,384.0,16.3,1.79,9.87,Red soil,Medium,Medium,High,43.2,24.0,0.0,73.5,52.2,0.0,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00269,Maize,2,15,30,6.28,2.31,0.53,221.5,26.9,238.3,8.6,0.42,4.46,Red soil,Low,High,Medium,60.0,0.0,16.0,130.4,0.0,32.0,0.0,10.0,0.0,Zinc,HIGH_EC_SALINITY;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00270,Maize,3,30,60,6.18,0.35,0.24,130.3,14.3,103.3,23.7,0.66,5.04,Red soil,Low,Medium,Low,60.0,24.0,20.0,130.4,0.0,33.3,150.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00271,Sorghum (Jowar),1,0,15,8.75,1.97,0.24,601.4,39.0,420.8,31.8,1.59,3.71,Alluvial,High,High,High,12.8,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,Nitrogen,ALKALINE_PH;ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00272,Sorghum (Jowar),2,15,30,8.36,0.85,0.62,400.7,28.5,250.1,17.7,1.12,5.05,Alluvial,Medium,High,Medium,32.0,0.0,16.0,69.6,0.0,26.7,0.0,0.0,0.0,Nitrogen,ALKALINE_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00273,Sorghum (Jowar),3,30,60,6.87,1.38,0.38,280.0,5.0,137.8,11.8,1.7,6.01,Alluvial,Medium,Low,Low,32.0,20.8,20.0,52.0,45.2,33.3,0.0,0.0,0.0,Phosphorus,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00274,Sorghum (Jowar),1,0,15,6.58,0.21,0.89,486.4,36.7,255.0,22.6,0.77,3.1,Black soil,Medium,High,Medium,28.8,0.0,16.0,62.6,0.0,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00275,Sorghum (Jowar),2,15,30,7.26,0.77,0.42,169.4,13.0,291.2,13.5,1.12,7.88,Black soil,Low,Medium,Medium,40.0,16.0,16.0,73.3,34.8,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00276,Sorghum (Jowar),3,30,60,7.1,1.09,0.4,72.1,5.1,186.1,16.9,0.4,10.65,Black soil,Low,Low,Medium,40.0,20.8,16.0,69.3,45.2,26.7,0.0,0.0,0.0,Nitrogen,NONE,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00277,Sorghum (Jowar),1,0,15,7.01,2.78,0.56,617.8,44.2,407.6,12.5,1.6,10.83,Black soil,High,High,High,12.8,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,Nitrogen,ELEVATED_SALINITY,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
SOIL_REC_00278,Sorghum (Jowar),2,15,30,5.81,1.14,0.17,339.2,24.9,81.5,21.5,1.36,9.67,Black soil,Medium,Medium,Low,32.0,16.0,20.0,69.6,0.0,33.3,100.0,0.0,0.0,Potassium,ACIDIC_PH,"ICAR-IISS / Soil Health Card Portal (DAC&FW, GoI)",ICAR Soil Test Crop Response (STCR) Database & National Fertilizer Guidelines 2024-25
